modality,target_missing_ratio,actual_missing_ratio,n_seeds,accuracy_mean,macro_f1_mean,macro_f1_sd,mae_mean,mae_sd,delta_macro_f1,delta_mae
TV,0.4,0.37503214262344026,5,0.6063186813186814,0.6005868427180453,0.010749835471964585,0.6293427526618222,0.005025004038878007,-0.02919721789281504,0.0014791471064909967
TV,0.5,0.4698069084967885,5,0.6074175824175825,0.6024508309493284,0.012678293973144709,0.6305830105890042,0.004198337870258658,-0.027333229661531955,0.0027194050336730724
AV,0.1,0.10625206053789174,5,0.6315934065934066,0.625585597994107,0.0005098893477691078,0.6268194134588286,0.0007796267836577667,-0.0041984626167533845,-0.0010441920965025275
AV,0.2,0.20094650916263954,5,0.6285714285714286,0.622739634740782,0.0027468869900341935,0.6259908264813749,0.0016326560747861065,-0.0070444258700783635,-0.0018727790739562211
AV,0.3,0.29921344978796255,5,0.6255494505494505,0.6203469996829862,0.0023286359891223816,0.625372726894828,0.0013354116037076031,-0.009437060927874108,-0.0024908786605031263
AV,0.4,0.39699720640431396,5,0.6241758241758242,0.6191670082039177,0.002251787476490398,0.6258130412227999,0.0016276423601619045,-0.010617052406942662,-0.0020505643325312573
AV,0.5,0.4973962638568093,5,0.6217032967032967,0.6166076689439601,0.0022755631963034526,0.6276840400882385,0.0013321991163712374,-0.013176391666900211,-0.000179565467092635
TAV,0.1,0.10113686221846185,5,0.6252747252747253,0.6187348383066691,0.0058168489091519286,0.6286127980883556,0.001590082031146987,-0.011049222304191253,0.000749192533024412
TAV,0.2,0.19286684229314982,5,0.6173076923076923,0.6112008090769295,0.007103297414752974,0.6306080031859211,0.0027750471090872376,-0.01858325153393081,0.0027443976305899787
TAV,0.3,0.2877887157661902,5,0.6107142857142858,0.6056698258021789,0.012498444481640671,0.6293615296307458,0.004826860850463978,-0.024114234808681467,0.0014979240754146028
TAV,0.4,0.3822776954825763,5,0.6019230769230769,0.5968887803823562,0.00905582666430437,0.6291629017711934,0.007135660935332363,-0.03289528022850419,0.0012992962158622223
TAV,0.5,0.4789656638526,5,0.5956043956043956,0.5914272796057681,0.007480753930063728,0.6320737026198152,0.007512434284196889,-0.03835678100509221,0.004210097064484053
